name,gutendex_query,corpus,original_language,era,batch,source_family,source_unit,min_independent_sources,notes,verified_independent_works,gutenberg_ids,titles,eligible
Joseph Sheridan Le Fanu,Le Fanu,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,25,10007|14851|17769|511|11635|40126|37172|38460|11699|68569|9502|9983|11610|11750|40510|37174|75028|37173|34662|25584|41229|10377|35468|12828|41228,"Carmilla | Uncle Silas: A Tale of Bartram-Haugh | The House by the Church-Yard | The Purcell Papers — Volume 3 | Green Tea;  Mr. Justice Harbottle | The Cock and Anchor | In a Glass Darkly, v. 1/3 | Checkmate | J. S. Le Fanu's Ghostly Tales, Volume 1 | The Wyvern mystery | The Room in the Dragon Volant | Wylder's Hand | Madam Crowl's Ghost and the Dead Sexton | J. S. Le Fanu's Ghostly Tales, Volume 3: The Haunted Baronet (1871) | The Watcher, and other weird stories | In a Glass Darkly, v. 3/3 | All in the dark | In a Glass Darkly, v. 2/3 | Willing to Die: A Novel | The Purcell Papers: Index and Contents of the Three Volumes | Guy Deverell, v. 2 of 2 | The Evil Guest | The Tenants of Malory, Volume 2 | Two Ghostly Mysteries: A Chapter in the History of a Tyrone Family; and the Murdered Cousin | Guy Deverell, v. 1 of 2",true
Jerome K. Jerome,Jerome,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,62,308|849|26466|2183|1334|1915|64936|868|867|866|2024|865|2037|858|14003|3140|52997|856|857|855|2368|869|2023|2437|870|1993|2353|12380|2231|2525|2234|48475|12694|30579|68447|66465|30248|32360|47774|71039|42361|54698|2195|58206|2356|66393|17943|33850|58974|63930|2829|64632|64672|32365|31778|58743|30715|63971|29750|53034|47536|59470,"Three men in a boat (to say nothing of the dog) | The Idle Thoughts of an Idle Fellow | Idle Thoughts of an Idle Fellow | Three men on the bummel | Paul Kelver | The Second Thoughts of an Idle Fellow | Cubists and Post-Impressionism | The Philosopher's Joke | Mrs. Korner Sins Her Mercies | The Cost of Kindness | Diary of a Pilgrimage | Passing of the Third Floor Back | Novel Notes | Stage-Land | Disputed Handwriting: An exhaustive, valuable, and comprehensive work upon one of the most important subjects of to-day. With illustrations and expositions for the detection and study of forgery by handwriting of all kinds | Idle Ideas in 1905 | Frijoles: A Hidden Valley in the New World | Dreams | Evergreens | Clocks | The Angel and the Author, and Others | The Soul of Nicholas Snyders; Or, The Miser of Zandam | Malvina of Brittany | They and I | The Love of Ulrich Nebendahl | Told After Supper | Tea-Table Talk | Two Thousand Miles on an Automobile: Being a Desultory Narrative of a Trip Through New England, New York, Canada, and the West, By ""Chauffeur"" | All Roads Lead to Calvary | John Ingerfield, and Other Stories | Sketches in Lavender, Blue and Green | On the Stage--and Off: The Brief Career of a Would-Be Actor | History of the American Clock Business for the Past Sixty Years, and Life of Chauncey Jerome: Barnum's Connection with the Yankee Clock Business | The Shepherd Of My Soul | Recollections and impressions of James A. McNeill Whistler | Anthony John | Crayon portraiture : $b Complete instructions for making crayon portraits on crayon paper and on platinum, silver and bromide enlargements | The Holes Around Mars | The Observations of Henry: Illustrated | The illustrated story of evolution | The Mystic Mid-Region: The Deserts of the Southwest | Woodbarrow Farm: Play in Three Acts | The Master of Mrs. Chilvers: An Improbable Comedy | From Ocean to Ocean: Across a Continent on a Bicycle: An Account of a Solitary Ride From Adelaide to Port Darwin | Tommy and Co. | The Battle of the Bells | The Observations of Henry | The Slizzers | Our Town | The Crowded Colony | Fanny and the Servant Problem | Cargo to Callisto | Tubemonkey | A Boy Knight | The Draw | Little Boy | Where There's Hope | Vengeance on Mars! | Zen | The God-Plllnk | The Country's Need of Greater Railway Facilities and Terminals: Address Delivered at the Annual Dinner of the Railway Business Association, New York City, December 19, 1912 | Laboratory",true
John Buchan,Buchan John,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,20,558|560|23706|1966|3782|715|611|40014|34548|77309|60948|75668|57402|17047|76673|10046|57631|46345|59178|77335,"The Thirty-Nine Steps | Mr. Standfast | Greenmantle | The Path of the King | Huntingtower | The Moon Endureth: Tales and Fancies | Prester John | John Burnet of Barns: A Romance | The African Colony: Studies in the Reconstruction | Francis and Riversdale Grenfell : $b A memoir | The Last Secrets: The Final Mysteries of Exploration | The strange career of the Chevalier d'Eon de Beaumont : $b Minister plenipotentiary from France to Great Britain in 1763 | The Watcher by the Threshold | The Half-Hearted | The history of the South African forces in France | Salute to Adventurers | The Power-House | Sir Quixote of the Moors: Being some account of an episode in the life of the Sieur de Rohaine | Midwinter: Certain Travellers in Old England | Poems, Scots and English",true
R. Austin Freeman,Freeman R Austin,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,16,76728|76919|76796|76072|76116|13882|11128|10476|12187|12028|59478|24201|72782|75244|70996|76845,Helen Vardon's confession | The magic casket | A silent witness | The mystery of Angelina Frood | The blue scarab | John Thorndyke's Cases: related by Christopher Jervis and edited by R. Austin Freeman | The Red Thumb Mark | The Vanishing Man: A Detective Romance | The Mystery of 31 New Inn | The Uttermost Farthing: A Savant's Vendetta | The adventures of Dr. Thorndyke (The singing bone) | The Eye of Osiris | As a thief in the night | The shadow of the Wolf | The D'Arblay mystery | The golden pool : $b A story of a forgotten mine,true
Anna Katharine Green,Green Anna Katharine,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,38,21617|23641|21824|4047|3071|1167|2371|4767|1857|1851|17763|33301|31681|18761|10083|34710|33305|5162|32795|68153|19147|22811|17999|33695|5121|22809|22810|22807|38347|31578|56787|6805|57643|22806|32439|35424|22808|36758,"That Affair Next Door | The Forsaken Inn: A Novel | The Old Stone House and Other Stories | The Leavenworth Case | The Golden Slipper, and Other Problems for Violet Strange | A Strange Disappearance | The Filigree Ball: Being a full and true account of the solution of the mystery concerning the Jeffrey-Moore affair | The Mayor's Wife | Initials Only | The Woman in the Alcove | The Mystery of the Hasty Arrow | The Sword of Damocles: A Story of New York Life | Hand and Ring | The Circular Study | The House of the Whispering Pines | One of My Sons | Lost Man's Lane: A Second Episode in the Life of Amelia Butterworth | Agatha Webb | Three Thousand Dollars | The step on the stair | The House in the Mist | The Staircase At The Heart's Delight: 1894 | The Chief Legatee | X Y Z: A Detective Story | Dark Hollow | The Hermit Of ——— Street: 1898 | Midnight In Beauchamp Row: 1895 | A Difficult Problem: 1900 | The Millionaire Baby | Room Number 3, and Other Detective Stories | 7 to 12: A Detective Story | The Mill Mystery | Doctor Izard | The Bronze Hand: 1897 | The Doctor, his Wife, and the Clock | The Amethyst Box | The Gray Madam: 1899 | Cynthia Wakeham's Money",true
Mary Roberts Rinehart,Rinehart,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,32,75922|434|1214|330|1693|366|1869|2714|1601|1970|3464|1671|1960|1590|11127|2358|1963|9931|54273|19475|15473|19851|14457|70942|34020|41408|14573|79161|68950|63490|43394|28406,"The amazing adventures of Letitia Carberry | The Circular Staircase | The Street of Seven Stars | Where There's a Will | Dangerous Days | Bab: A Sub-Deb | The Man in Lower Ten | Long Live the King! | The Breaking Point | A Poor Wise Man | Tish : $b The chronicle of her escapades and excursions | When a Man Marries | Sight Unseen | The Amazing Interlude | The Case of Jennie Brice | The After House | The Confession | K | Locked Doors | Tenting To-night: A Chronicle of Sport and Adventure in Glacier Park and the Cascade Mountains | Love Stories | More Tish | Kings, Queens and Pawns: An American Woman at the Front | Tish plays the game | The Window at the White Cat | Affinities, and Other Stories | The Truce of God | Temperamental people | Twenty-three and a half hours' leave | The Altar of Freedom | Through Glacier Park: Seeing America First with Howard Eaton | Why I Believe in Scouting for Girls",true
Booth Tarkington,Tarkington,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,25,402|8867|980|1611|297|1158|9659|1098|6401|8740|3428|483|57721|2326|2595|1983|5798|60529|18259|65207|5949|58870|5756|59778|69265,"Penrod | The Magnificent Ambersons | Alice Adams | Seventeen: A Tale of Youth and Summer Time and the Baxter Family, Especially William | The Flirt | Penrod and Sam | The Gentleman from Indiana | The Turmoil: A Novel | Harlequin and Columbine | In the Arena: Stories of Political Life | The Two Vanrevels | The Conquest of Canaan | Index of the Project Gutenberg Works of Booth Tarkington | His Own People | Ramsey Milholland | Monsieur Beaucaire | The Beautiful Lady | The Fascinating Stranger, and Other Stories | Gentle Julia | Women | Beasley's Christmas Party | The Midlander | The Guest of Quesnay | The Trysting Place: A Farce in One Act | Bimbo, the pirate: A comedy",true
Gene Stratton-Porter,Stratton-Porter,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,12,26465|26220|26582|111|286|904|533|532|3722|59823|35188|4907,The Harvester | A Girl of the Limberlost | Michael O'Halloran | Freckles | Laddie: A True Blue Story | Her Father's Daughter | The Song of the Cardinal | At the Foot of the Rainbow | A Daughter of the Land | The White Flag | The Fire Bird | Moths of the Limberlost: A Book About Limberlost Cabin,true
O. Henry,Henry O,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,7,7256|22442|59637|1646|3707|1595|2141,"The Gift of the Magi | The Four Million | Index of the Project Gutenberg Works of O. Henry | Roads of Destiny | The Trimmed Lamp, and Other Stories of the Four Million | Whirligigs | Strictly Business: More Stories of the Four Million",true
Ambrose Bierce,Bierce,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,25,23172|972|375|4366|13334|58807|374|12977|23081|66345|36218|13541|43951|12658|25304|15599|66905|12474|12793|5661|16340|4793|66490|66576|3715,"The Damned Thing: 1898, From ""In the Midst of Life"" | The Devil's Dictionary | An Occurrence at Owl Creek Bridge | Can Such Things Be? | The Collected Works of Ambrose Bierce, Volume 02: In the Midst of Life: Tales of Soldiers and Civilians | Index of the Project Gutenberg Works of Ambrose Bierce | Fantastic Fables | Black Beetles in Amber | Present at a Hanging and Other Ghost Stories | The Collected Works of Ambrose Bierce, Volume 12: In Motley | The Letters of Ambrose Bierce, With a Memoir by George Sterling | The Collected Works of Ambrose Bierce, Volume 01 | The Cynic's Word Book | Shapes of Clay | The Shadow On The Dial, and Other Essays: 1909 | The Collected Works of Ambrose Bierce, Volume 08: Negligible Tales, On With the Dance, Epigrams | The Collected Works of Ambrose Bierce, Volume 11: Antepenultimata | Write It Right: A Little Blacklist of Literary Faults | Cobwebs from an Empty Skull | A Son of the Gods, and A Horseman in the Sky | A Cynic Looks at Life | The Fiend's Delight | The Collected Works of Ambrose Bierce, Volume 09: Tangential Views | The Collected Works of Ambrose Bierce, Volume 10: The Opinionator | The Parenticide Club",true
Frank Norris,Norris Frank,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,10,165|268|321|401|4382|14712|9905|48620|16096|26026,"McTeague: A Story of San Francisco | The Octopus : A Story of California | Moran of the Lady Letty | Blix | The pit : $b a story of Chicago | Vandover and the Brute | A Deal in Wheat and Other Stories of the New and Old West | The Third Circle | A man's woman | The Surrender of Santiago: An Account of the Historic Surrender of Santiago to General; Shafter, July 17, 1898",true
Hamlin Garland,Garland Hamlin,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,24,22329|26189|26244|21255|26239|22593|28551|21850|2809|28791|24220|75161|30318|33458|20714|29119|20247|20695|34250|35805|20697|28492|48442|19764,"A Daughter of the Middle Border | A Spoil of Office: A Story of the Modern West | Cavanagh, Forest Ranger: A Romance of the Mountain West | The Eagle's Heart | The Forester's Daughter: A Romance of the Bear-Tooth Range | The Shadow World | The Trail of the Goldseekers: A Record of Travel in Prose and Verse | A Little Norsk; Or, Ol' Pap's Flaxen | Main-Travelled Roads | A Son of the Middle Border | The Tyranny of the Dark | The book of the American Indian | Money Magic: A Novel | The Captain of the Gray-Horse Troop | Other Main-Travelled Roads | They of the High Trails | Wayside Courtships | The Spirit of Sweetwater | Victor Ollnee's Discipline | Rose of Dutcher's Coolly | Prairie Folks | The Light of the Star: A Novel | A Pioneer Mother | The Moccasin Ranch: A Story of Dakota",true
Stephen Leacock,Leacock,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,17,28919|3533|6340|4682|4064|23449|3532|11504|4781|30039|58439|4020|4077|22651|20633|4069|29226,"Frenzied Fiction | Sunshine Sketches of a Little Town | Literary Lapses | Nonsense Novels | Moonbeams from the Larger Lunacy | Behind the Beyond, and Other Contributions to Human Knowledge | My Discovery of England | Further Foolishness | The Hohenzollerns in America: With the Bolsheviks in Berlin and Other Impossibilities | Adventurers of the Far North: A Chronicle of the Frozen Seas | Index of the Project Gutenberg Works of Stephen Leacock | Arcadian Adventures with the Idle Rich | The Mariner of St. Malo : A chronicle of the voyages of Jacques Cartier | The Unsolved Riddle of Social Justice | Winsome Winnie and other New Nonsense Novels | The Dawn of Canadian History : A Chronicle of Aboriginal Canada | The Fall of British Tyranny; Or, American Liberty Triumphant",true
Arthur Machen,Machen,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,13,389|78106|25016|13969|35517|35153|35637|40241|35611|43685|14044|35617|43503,"The Great God Pan | Things near & far | The House of Souls | The Hill of Dreams | The Three Impostors; or, The Transmutations | Far off things | The Secret Glory | Hieroglyphics | The Great Return | The Literature and History of New Testament Times | The Angels of Mons: The Bowmen and Other Legends of the War | The Terror: A Mystery | The Origin of Paul's Religion",true
Algernon Blackwood,Blackwood Algernon,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,26,14471|11438|10897|16726|10624|22349|49222|9964|11377|6021|45964|72928|43816|77472|5894|10659|33876|69668|43594|30974|50107|35132|11988|76991|4046|11074,"The Empty House and Other Ghost Stories | The Willows | The Wendigo | Four Weird Tales | Three John Silence Stories | The Camp of the Dog | John Silence, Physician Extraordinary | The Centaur | The Man Whom the Trees Loved | A Prisoner in Fairyland (The Book That 'Uncle Paul' Wrote) | Day and Night Stories | Ten minute stories | Incredible Adventures | Pan's garden : $b a volume of nature stories | The Extra Day | Three More John Silence Stories | The Wave: An Egyptian Aftermath | The education of Uncle Paul | The Bright Messenger | Jimbo: A Fantasy | Julius LeVallon: An Episode | The Promise of Air | The Human Chord | Episodes before thirty | The Garden of Survival | The Damned",true
Sax Rohmer,Rohmer,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,22,173|77092|77056|77001|27461|1182|2028|1183|1159|6382|2126|5697|19142|19706|15323|21879|18613|40108|17959|41619|69544|79087,"The Insidious Dr. Fu Manchu | She who sleeps : $b A romance of New York and the Nile | The dream detective | Moon of madness | The Orchard of Tears | Dope | The Yellow Claw | The Return of Dr. Fu-Manchu | Fire-Tongue | Bat Wing | The Quest of the Sacred Slipper | Tales of Chinatown | The Devil Doctor | Brood of the Witch-Queen | The Green Eyes of Bâst | The Sins of Séverac Bablon | The Golden Scorpion | Tales of Secret Egypt | The Hand of Fu-Manchu: Being a New Phase in the Activities of Fu-Manchu, the Devil Doctor | The Haunting of Low Fennel | The exploits of Captain O'Hagan | The day the world ended",true
Edgar Rice Burroughs,Burroughs Edgar Rice,literary,en,20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,49,72|64|62|68|1153|551|149|553|23712|81|106|90|123|85|331|92|96|605|369|364|1401|2020|363|69703|58904|75817|552|70691|69338|71372|70195|61837|69191|3475|58874|70199|70816|70002|70815|72938|70589|71195|71316|71370|70101|70124|70536|71879|62409,"Thuvia, maid of Mars | The gods of Mars | A princess of Mars | The warlord of Mars | The Chessmen of Mars | The Land That Time Forgot | The Lost Continent | Out of Time's Abyss | Tarzan of the Apes | The Return of Tarzan | Jungle Tales of Tarzan | The Son of Tarzan | At the Earth's Core | The Beasts of Tarzan | The Mucker | Tarzan and the Jewels of Opar | The Monster Men | Pellucidar | The outlaw of Torn | The Mad King | Tarzan the Untamed | Tarzan the Terrible | The Oakdale Affair | The master mind of Mars | Index of the Project Gutenberg Works of Edgar Rice Burroughs | The illustrated Tarzan book no. 1 : $b Picturized from the novel Tarzan of the apes | The People That Time Forgot | A fighting man of Mars | The Moon Maid | Tarzan triumphant | Pirates of Venus | Tarzan and the Ant Men | The cave girl | The Efficiency Expert | Tarzan and the Golden Lion | Tanar of Pellucidar | Lost on Venus | The eternal savage | Tarzan at the Earth's core | Tarzan, lord of the jungle | Tarzan and the lost empire | Tarzan the invincible | Tarzan and the city of gold | Tarzan and the Lion Man | Apache devil | The war chief | The land of hidden men | The Tarzan twins | The girl from Hollywood",true
Robert W. Chambers,Chambers Robert W,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,46,8492|52404|10441|25441|27374|26651|25623|43703|7492|15654|33557|12279|53249|4984|18185|38958|46581|52842|18668|28440|28244|29880|36281|53289|11904|14852|27342|28295|13180|35233|5748|43702|37528|67856|37333|24181|18515|6893|13813|8441|24071|24389|40696|77500|24426|77948,"The King in Yellow | The Girl Philippa | The Green Mouse | The Reckoning | A Young Man in a Hurry, and Other Short Stories | The Flaming Jewel | Barbarians | The Business of Life | The Fighting Chance | The Firing Line | The Moonlit Way: A Novel | The Maid-At-Arms: A Novel | The Laughing Girl | The Hidden Children | The Danger Mark | Cardigan | The Mystery of Choice | Japonette | In Search of the Unknown | The Dark Star | The Gay Rebellion | The Crimson Tide: A Novel | The Slayer of Souls | The Restless Sex | Ailsa Paige: A Novel | The Younger Set | Athalie | The Maids of Paradise | The Tracer of Lost Persons | The Streets of Ascalon: Episodes in the Unfinished Career of Richard Quarren, Esqre. | In Secret | The Adventures of a Modest Man | Quick Action | Eris | The Little Red Foot | Lorraine: A Romance | Police!!! | In the Quarter | The Common Law | Between Friends | Special Messenger | Blue-Bird Weather | Who Goes There! | The talkers | Iole | The haunts of men",true
E. Phillips Oppenheim,Oppenheim,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,72,1849|1931|28091|27998|26596|41046|28161|41047|76836|68713|5815|1976|2287|2767|1314|1442|77864|1878|1699|5091|1447|51076|34035|9871|17197|9664|19341|29162|17063|33546|16971|13123|8878|30542|32732|20611|30811|9923|15893|5743|17103|26023|34945|4233|10534|16998|35361|55798|9836|35661|13369|10371|22143|17040|75552|45636|10575|11372|17272|10537|33988|9872|17356|77836|59198|39018|40455|31535|41402|33302|32148|55760,"The Yellow Crayon | The Zeppelin's Passenger | The Double Four | The New Tenant | Anna the Adventuress | International Law. A Treatise. Volume 1 (of 2): Peace. Second Edition | The Master Mummer | International Law. A Treatise. Volume 2 (of 2): War and Neutrality. Second Edition | The common sense of sex | A history of the administration of the Royal Navy and of merchant shipping in relation to the Navy from MDIX to MDCLX, with an introduction treating of the preceding period | The Great Impersonation | Peter Ruff and the Double Four | Havoc | The Devil's Paw | The Malefactor | The Kingdom of the Blind | The psychology of Jung | A Millionaire of Yesterday | The Vanished Messenger | The Tempting of Tavernake | The Illustrious Prince | Aaron Rodd, Diviner | The Hillman | The Avenger | The Black Box | An Amiable Charlatan | A Maker of History | The Traitors | A Lost Leader | The Missioner | A Prince of Sinners | The Great Prince Shan | The Mischief-Maker | Berenice | Jacob's Ladder | Mr. Grex of Monte Carlo | The Moving Finger | The Box with Broken Seals | The Lighted Way | The Evil Shepherd | The Double Life Of Mr. Alfred Burton | The League of Nations and Its Problems: Three Lectures | The Golden Web | Jeanne of the Marshes | The Double Traitor | The Betrayal | The Wicked Marquis | False Evidence | The Pawns Count | Mysterious Mr. Sabin | The Lost Ambassador; Or, The Search For The Missing Delora | The Cinema Murder | The Panama Canal Conflict between Great Britain and the United States of America: A Study | The Survivor | Wild oats | Stolen Idols | The Profiteers | The Nine-Tenths | A People's Man | The Governors | To Win the Love He Sought: The Great Awakening: Volume 3 | The Great Secret | Nobody's Man | The mystery road | The Seven Conundrums | Mr. Marx's Secret | Master of Men | A Monk of Cruta | The Yellow House; Master of Men | The Future of International Law | International Incidents for Discussion in Conversation Classes | Ambrose Lavendale, Diplomat",true
Israel Zangwill,Zangwill,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,21,28164|23893|56264|6304|29875|49795|12680|45623|57836|28982|16408|78520|35076|33747|38413|29207|35238|20631|34404|20078|77065,"The Big Bow Mystery | The Melting-Pot | Italian Fantasies | Without Prejudice | Dreamers of the Ghetto | The Master; a Novel | Children of the Ghetto: A Study of a Peculiar People | The Old Maids' Club | Jinny the Carrier | Ghetto Comedies | The Grey Wig: Stories and Novelettes | The rise of a star | Ghetto Tragedies | An Engagement of Convenience: A Novel | The King of Schnorrers: Grotesques and Fantasies | Cleo The Magnificent; Or, The Muse of the Real: A Novel | The Grandchildren of the Ghetto | Chosen Peoples: Being the First ""Arthur Davis Memorial Lecture"" delivered before the Jewish Historical Society at University College on Easter-Passover Sunday, 1918/5678 | The Beautiful Miss Brooke | Merely Mary Ann | The barbarous babes : $b Being the memoirs of Molly",true
William Dean Howells,Howells,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,103,22297|25383|22219|22519|22450|154|3374|3389|4201|3400|7083|14276|3404|12100|7430|21381|3364|8171|8203|66584|52708|4600|7187|726|4645|3362|723|3379|7130|3377|7359|20225|728|7422|7141|7311|8449|3363|4270|7502|7797|8295|4646|9458|7546|3365|3051|7839|28763|2506|3392|3378|18555|7410|47060|28727|724|3402|66257|3237|30023|3399|58540|18605|56970|3393|3369|3373|30108|3401|7364|29993|3483|3386|3397|18565|3394|3406|20403|3396|3384|3375|3380|3390|3385|3398|43469|3382|3395|27709|23030|3383|3391|3387|3403|3381|33608|57341|28305|27880|75112|75041|73469,"The Coast of Bohemia | Boy Life: Stories and Readings Selected From The Works of William Dean Howells | The Flight of Pony Baker: A Boy's Town Story | Christmas Every Day and Other Stories | My Mark Twain | The Rise of Silas Lapham | The Entire March Family Trilogy | Literature and Life (Complete) | Literary Friends and Acquaintance; a Personal Retrospect of American Authorship | Complete Project Gutenberg William Dean Howells Works | Venetian Life | Italian Journeys | April Hopes | Between the Dark and the Daylight | Familiar Spanish Travels | Stories Of Ohio | Dr. Breen's Practice | Modern Italian Poets; Essays and Versions | A Modern Instance | The World of Chance | A Confession of St. Augustine | A Hazard of New Fortunes — Complete | Seven English Cities | A Psychological Counter-Current in Recent Fiction | The Landlord at Lion's Head — Complete | The Kentons | Henry James, Jr. | Short Stories and Essays (from Literature and Life) | London Films | Criticism and Fiction | Indian Summer | The Story of a Play: A Novel | Emile Zola | Roman Holidays, and Others | Suburban Sketches | The Leatherwood God | A Traveler from Altruria: Romance | Fennel and Rue | Ragged Lady — Complete | Annie Kilburn : a Novel | The Lady of the Aroostook | Through the Eye of the Needle: A Romance | Their Silver Wedding Journey — Complete | Questionable Shapes | Quotes and Images From The Works of William Dean Howells | Their Wedding Journey | An Open-Eyed Conspiracy; An Idyl of Saratoga | A Foregone Conclusion | Imaginary Interviews | The Sleeping-Car: A Farce | Cambridge Neighbors (from Literary Friends and Acquaintance) | My Literary Passions | A Chance Acquaintance | The Minister's Charge; Or, The Apprenticeship of Lemuel Barker | Years of My Youth | A Boy's Town | The Man of Letters as a Man of Business | The Parlor Car | Impressions and experiences | The Garotters | The Daughter of the Storage: And Other Things in Prose and Verse | Complete Project Gutenberg William Dean Howells Literature Essays | Certain delightful English towns, with glimpses of the pleasant country between | A Pair of Patient Lovers | Mrs. Farrell | Studies of Lowell (from Literary Friends and Acquaintance) | A Hazard of New Fortunes — Volume 4 | Their Silver Wedding Journey — Volume 3 | The Quality of Mercy | The Elevator | The Albany Depot : a Farce | Poems | Widger's Quotations from the Project Gutenberg Editions of the Works of William Dean Howells | The Editor's Relations with the Young Contributor (from Literature and Life) | Roundabout to Boston (from Literary Friends and Acquaintance) | A Little Swiss Sojourn | The White Mr. Longfellow (from Literary Friends and Acquaintance) | Ragged Lady — Volume 2 | A Fearful Responsibility and Other Stories | Literary Boston as I Knew It (from Literary Friends and Acquaintance) | Some Anomalies of the Short Story (from Literature and Life) | The Landlord at Lion's Head — Volume 1 | Staccato Notes of a Vanished Summer (from Literature and Life) | My Mark Twain (from Literary Friends and Acquaintance) | Last Days in a Dutch Hotel (from Literature and Life) | My First Visit to New England, and Others (from Literary Friends and Acquaintance) | A Counterfeit Presentment; and, The Parlour Car | American Literary Centers (from Literature and Life) | Oliver Wendell Holmes (from Literary Friends and Acquaintance) | Five O'Clock Tea: Farce | Buying a Horse | Spanish Prisoners of War (from Literature and Life) | A Belated Guest (from Literary Friends and Acquaintance) | Confessions of a Summer Colonist (from Literature and Life) | The Register | The Standard Household-Effect Company (from Literature and Life) | Bride Roses | My Year in a Log Cabin | A Likely Story | Evening Dress: Farce | The air splasher | His to fly | Nerve enough",true
Sarah Orne Jewett,Jewett,literary,en,19c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,23,23546|27923|19685|367|69844|13211|41288|74980|15294|44920|51537|66443|50140|15985|32382|31473|24822|31857|13114|41831|49933|60243|47865,"Wealth of the World's Waste Places and Oceania | Betty Leicester: A Story For Girls | Country of the Pointed Firs | The Country of the Pointed Firs | A history of Italian painting | The Pearl: A Middle English Poem, A Modern Version in the Metre of the Original | Beginners' Book in Language. A Book for the Third Grade | The best stories of Sarah Orne Jewett, Volume 2 (of 2) | A Country Doctor and Selected Stories and Sketches | The Normans; told chiefly in relation to their conquest of England | The Tory Lover | Wonder Tales from Tibet | The Story of the Thirty-second Regiment, Massachusetts Infantry: Whence it came; where it went; what it saw, and what it did | Deephaven and Selected Stories & Sketches | Old Friends and New | The Life of Nancy | The Queen's Twin and Other Stories | Strangers and Wayfarers | The Collectors: Being Cases mostly under the Ninth and Tenth Commandments | Betty Leicester's Christmas | The Mentor: Two Early German Painters, Dürer and Holbein, Vol. 1, Num. 48, Serial No. 48 | A Historical Sketch of Company ""B,"" Eighteenth Regiment Ohio Volunteer Infantry: Three Months Service | On the Construction of Catalogues of Libraries and Their Publication by Means of Separate, Stereotyped Titles: With Rules and Examples",true
Mary E. Wilkins Freeman,Freeman Mary,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,24,1716|1617|978|15695|17564|18011|45300|16468|4528|18158|17790|17886|17428|17793|17566|19766|17560|17960|76948|17792|17885|17891|17887|17888,"The Copy-Cat, and Other Stories | The Wind in the Rose-Bush, and Other Stories of the Supernatural | The Yates Pride: A Romance | 'Doc.' Gordon | By the Light of the Soul: A Novel | The Portion of Labor | Once Upon a Time, and Other Child-Verses | The Pot of Gold, and Other Stories | The Heart's Highway: A Romance of Virginia in the Seventeenth Century | The Butterfly House | Jane Field: A Novel | Jerome, A Poor Man: A Novel | Pembroke: A Novel | The Debtor: A Novel | The Shoulders of Atlas: A Novel | Young Lucretia and Other Stories | The Adventures of Ann: Stories of Colonial Times | Giles Corey, Yeoman: A Play | Silence, and other stories | The Jamesons | Madelon: A Novel | Evelina's Garden | The Green Door | Comfort Pease and her Gold Ring",true
Alice Brown,Brown Alice,literary,en,19c_20c,gutenberg_targeted_2026_07,Project Gutenberg,work,3,original English prose,8,24540|20486|9367|31372|29366|32115|33259|51541,Country Neighbors | Tiverton Tales | Meadow Grass: Tales of New England Life | Old Crow | The Prisoner | Rose MacLeod | The Day of His Youth | Louise Imogen Guiney,true
