method,profile,top3_count,false_top3_count,source_balanced_false_top3_mass,source_balanced_false_top3_share
uncorrected_centroid,en::Hamlin Garland,304,272,5.509890109890082,0.005079594289280002
uncorrected_centroid,en::Thomas Hardy,333,271,5.446509785647689,0.005021163662415685
uncorrected_centroid,fr::Villiers de l'Isle-Adam,347,270,5.5028571428571125,0.00507311056302324
uncorrected_centroid,fr::Edmond About,308,268,5.390476190476163,0.00496950602054544
uncorrected_centroid,zh::Wu Jianren,367,267,5.339999999999974,0.004922971776890156
uncorrected_centroid,en::Joseph Conrad,283,267,5.631461055186661,0.005191671130588039
uncorrected_centroid,pl::Stefan Zeromski,362,266,5.415555555555545,0.004992626808273552
uncorrected_centroid,it::Sibilla Aleramo,312,266,5.444999999999969,0.005019771783739116
uncorrected_centroid,en::O. Henry,294,266,5.583118248567993,0.005147103663809131
uncorrected_centroid,en::Ambrose Bierce,290,266,5.334054054054029,0.004917490180620717
uncorrected_centroid,fr::George Sand,308,265,5.299999999999975,0.004886095583804838
uncorrected_centroid,ru::Anton Chekhov,331,262,5.737142857142823,0.005289099693951537
uncorrected_centroid,en::Benjamin Harrison,352,261,4.551588433353144,0.004196131347830959
uncorrected_centroid,fr::Charles Baudelaire,266,261,5.219999999999977,0.0048123431976342
uncorrected_centroid,en::Stephen Leacock,275,260,5.246956521739107,0.0048371945451482195
uncorrected_centroid,it::Giovanni Pascoli,335,259,5.1799999999999775,0.004775467004548881
uncorrected_centroid,en::Frank R. Stockton,280,259,5.209999999999977,0.00480312414936287
uncorrected_centroid,en::Theodore Roosevelt,268,258,5.662512077294675,0.00522029721775683
uncorrected_centroid,it::Salvatore Farina,335,253,5.06999999999998,0.0046740574735642535
uncorrected_centroid,en::Elizabeth von Arnim,284,253,5.237199676305617,0.004828199662245495
uncorrected_centroid,en::Henry James,338,251,5.04896551724136,0.004654665682372836
uncorrected_centroid,en::George Eliot,270,251,5.084041582150081,0.004687002475929017
uncorrected_centroid,de::Adalbert Stifter,296,250,5.095482128450646,0.004697549570788546
uncorrected_centroid,en::E. M. Forster,263,250,5.428333333333315,0.005004406703286911
uncorrected_centroid,en::Charles Dickens,322,249,5.102225755166911,0.004703766552810654
uncorrected_centroid,es::Miguel de Unamuno,336,248,4.959999999999982,0.004572647942579626
